X,Y,Value
0.00135417,0.0489583,326.489
0.00130208,0.0494792,323.942
0.000364583,0.0598958,312.902
0.000416667,0.0604167,315.733
0.00135417,0.0119792,302.593
0.00130208,0.0114583,299.469
0.00130208,0.0104167,300.227
0.00135417,0.00989583,303.428
0.00151042,0.0104167,305.869
0.00145833,0.00989583,303.519
0.00145833,0.0119792,302.73
0.00151042,0.0114583,305.547
0.00114583,0.0302083,321.271
0.00119792,0.0307292,323.992
0.00161458,0.00520833,306.847
0.00166667,0.00572917,310.269
0.00151042,0.00520833,306.708
0.00145833,0.00572917,304.153
5.20833e-05,0.00416667,302.033
0.000104167,0.00364583,304.489
0.000208333,0.00364583,304.554
0.000260417,0.00416667,305.252
0.00145833,0.00677083,305.03
0.00151042,0.00729167,308.889
0.00145833,0.00885417,303.666
0.00151042,0.00833333,307.413
0.00135417,0.00885417,303.522
0.00130208,0.00833333,301.027
0.00119792,0.00729167,302.251
0.00114583,0.00677083,300.931
0.00135417,0.00677083,304.882
0.00130208,0.00729167,302.339
0.00135417,0.00572917,304.079
0.00130208,0.00520833,303.107
0.00135417,0.0458333,324.418
0.00130208,0.0463542,321.194
0.00151042,0.0463542,327.657
0.00145833,0.0458333,324.542
0.00135417,0.0479167,327.561
0.00130208,0.0473958,323.444
0.00145833,0.0479167,327.739
0.00151042,0.0473958,330.504
0.000572917,0.0463542,314.796
0.000520833,0.0458333,310.6
5.20833e-05,0.0463542,302.938
0.000104167,0.0458333,306.657
0.000677083,0.0463542,314.984
0.000729167,0.0458333,317.901
0.000833333,0.0458333,317.995
0.000885417,0.0463542,319.709
0.00119792,0.0463542,321.082
0.00114583,0.0458333,319.767
0.000989583,0.0463542,319.746
0.00104167,0.0458333,319.761
0.00260417,0.0447917,329.196
0.00255208,0.0442708,328.65
0.000416667,0.0458333,310.48
0.000364583,0.0463542,308.539
0.000208333,0.0458333,306.766
0.000260417,0.0463542,308.461
5.20833e-05,0.0442708,303.007
0.000104167,0.0447917,306.865
0.000208333,0.0447917,306.981
0.000260417,0.0442708,309.03
0.000729167,0.0447917,316.322
0.000677083,0.0442708,312.803
0.000833333,0.0447917,316.45
0.000885417,0.0442708,318.339
0.00114583,0.0447917,319.744
0.00119792,0.0442708,322.236
0.00104167,0.0447917,319.649
0.000989583,0.0442708,318.381
0.00494792,0.0192708,298.567
0.00489583,0.0197917,297.251
0.00473958,0.0223958,298.711
0.00479167,0.0229167,299.8
0.00494792,0.0223958,299.547
0.00489583,0.0229167,299.797
0.00473958,0.0213542,297.229
0.00479167,0.0208333,298.268
0.00494792,0.0213542,299.081
0.00489583,0.0208333,298.289
0.00255208,0.0130208,303.953
0.00260417,0.0135417,305.331
0.00270833,0.0135417,305.36
0.00276042,0.0130208,305.544
0.00494792,0.0145833,298.485
0.00489583,0.0151042,296.547
5.20833e-05,0.0604167,302.965
0.000104167,0.0598958,306.938
0.000260417,0.0604167,309.719
0.000208333,0.0598958,307.049
5.20833e-05,0.0583333,303.412
0.000104167,0.0588542,307.919
0.000208333,0.0588542,308.068
0.000260417,0.0583333,311.156
0.00494792,0.00989583,298.511
0.00489583,0.0104167,296.742
0.00479167,0.0104167,296.692
0.00473958,0.00989583,295.85
0.00223958,0.0244792,327.014
0.00229167,0.0239583,328.007
0.00130208,0.0260417,316.076
0.00135417,0.0255208,318.808
0.00161458,0.0223958,317.449
0.00166667,0.0229167,320.247
0.00161458,0.0244792,320.707
0.00166667,0.0239583,322.694
5.20833e-05,0.0244792,302.234
0.000104167,0.0239583,304.472
0.000260417,0.0244792,306.026
0.000208333,0.0239583,304.526
5.20833e-05,0.0223958,302.057
0.000104167,0.0229167,304.356
0.000260417,0.0223958,305.652
0.000208333,0.0229167,304.407
0.00286458,0.0255208,326.188
0.00291667,0.0260417,326.073
0.00458333,0.0239583,300.137
0.00463542,0.0244792,300.627
0.00463542,0.0255208,300.381
0.00458333,0.0260417,299.26
0.00302083,0.0260417,326.021
0.00307292,0.0255208,324.29
0.00114583,0.0239583,312.478
0.00119792,0.0244792,314.602
0.000989583,0.0244792,311.407
0.00104167,0.0239583,312.413
0.00119792,0.0223958,312.146
0.00114583,0.0229167,310.451
0.000989583,0.0223958,308.721
0.00104167,0.0229167,310.404
0.000729167,0.0244792,309.594
0.000677083,0.0239583,307.804
0.000885417,0.0239583,309.823
0.000833333,0.0244792,309.635
0.00494792,0.0307292,297.794
0.00489583,0.0302083,295.193
0.00494792,0.0322917,297.982
0.00489583,0.0317708,295.133
0.00130208,0.0302083,325.37
0.00135417,0.0307292,326.75
5.20833e-05,0.0307292,304.103
0.000104167,0.0302083,309.731
0.000208333,0.0302083,309.925
0.000260417,0.0307292,313.969
0.00302083,0.000520833,301.119
0.00307292,0.00104167,301.414
0.00369792,0.000520833,299.49
0.00364583,0.00104167,298.468
5.20833e-05,0.00208333,301.833
0.000104167,0.00260417,304.206
0.000208333,0.00260417,304.258
0.000260417,0.00208333,304.585
0.00229167,0.000520833,300.899
0.00223958,0.00104167,300.867
0.00229167,0.00208333,305.175
0.00223958,0.00260417,305.069
0.00151042,0.00416667,306.989
0.00145833,0.00364583,304.68
0.00161458,0.00416667,307.088
0.00166667,0.00364583,308.714
0.00182292,0.00364583,310.975
0.00177083,0.00416667,310.188
0.00192708,0.00364583,311.041
0.00197917,0.00416667,312.578
0.00177083,0.00520833,312.354
0.00182292,0.00572917,313.794
0.00192708,0.00572917,313.829
0.00197917,0.00520833,314.113
0.00494792,0.00520833,298.466
0.00489583,0.00572917,296.546
0.00494792,0.00416667,298.29
0.00489583,0.00364583,296.034
0.00395833,0.00833333,299.581
0.00401042,0.00885417,300.167
0.00458333,0.00885417,297.199
0.00463542,0.00833333,297.684
0.00442708,0.00833333,297.569
0.00447917,0.00885417,297.199
0.00354167,0.00833333,300.493
0.00348958,0.00885417,300.529
5.20833e-05,0.00572917,301.655
0.000104167,0.00520833,303.91
0.000208333,0.00520833,303.979
0.000260417,0.00572917,304.285
5.20833e-05,0.00677083,301.418
0.000104167,0.00729167,302.994
0.000989583,0.00520833,302.691
0.00104167,0.00572917,303.275
0.00114583,0.00572917,303.28
0.00119792,0.00520833,303.107
0.000520833,0.00885417,301.51
0.000572917,0.00833333,302.438
0.000729167,0.00520833,302.042
0.000677083,0.00572917,301.703
0.000885417,0.00572917,301.949
0.000833333,0.00520833,302.046
0.000572917,0.0104167,301.033
0.000520833,0.00989583,300.839
0.000572917,0.0114583,300.231
0.000520833,0.0119792,299.727
0.000364583,0.0114583,300.094
0.000416667,0.0119792,299.744
5.20833e-05,0.00885417,301.182
0.000104167,0.00833333,302.479
5.20833e-05,0.00989583,301.111
0.000104167,0.0104167,302.135
0.00119792,0.00885417,299.241
0.00114583,0.00833333,298.714
0.00104167,0.00833333,298.697
0.000989583,0.00885417,298.899
0.00104167,0.00729167,300.086
0.000989583,0.00677083,300.705
0.00244792,0.0130208,303.878
0.00239583,0.0135417,302.436
0.00223958,0.0130208,301.738
0.00229167,0.0135417,302.407
0.00213542,0.0473958,333.155
0.00208333,0.0479167,331.722
0.00161458,0.0473958,330.599
0.00166667,0.0479167,331.641
0.00182292,0.0432292,325.98
0.00177083,0.0427083,323.518
0.00135417,0.0447917,324.855
0.00130208,0.0442708,322.323
0.00145833,0.0447917,324.964
0.00151042,0.0442708,326.849
0.00223958,0.0432292,328.968
0.00229167,0.0427083,330.013
0.00229167,0.0416667,325.758
0.00223958,0.0411458,323.585
0.00208333,0.0463542,331.613
0.00213542,0.0458333,332.907
0.00317708,0.0442708,324.971
0.00322917,0.0447917,326.167
0.00307292,0.0442708,324.954
0.00302083,0.0447917,325.949
0.00302083,0.0458333,328.347
0.00307292,0.0463542,329.17
0.00427083,0.0432292,309.001
0.00432292,0.0427083,308.141
0.000520833,0.0473958,312.543
0.000572917,0.0479167,316.52
0.000416667,0.0473958,312.358
0.000364583,0.0479167,309.586
0.00322917,0.0432292,321.879
0.00317708,0.0427083,322.025
0.00317708,0.0416667,321.856
0.00322917,0.0411458,321.35
0.00166667,0.0427083,323.476
0.00161458,0.0432292,323.408
0.000520833,0.0447917,310.381
0.000572917,0.0442708,312.695
0.000416667,0.0447917,310.291
0.000364583,0.0442708,309.096
0.00427083,0.0411458,305.109
0.00432292,0.0416667,305.992
0.00494792,0.0364583,298.409
0.00489583,0.0369792,296.496
0.00229167,0.0401042,321.865
0.00223958,0.0395833,319.447
0.00223958,0.0473958,333.227
0.00229167,0.0479167,334.053
0.00286458,0.0479167,331.786
0.00291667,0.0473958,331.966
0.00276042,0.0479167,331.756
0.00270833,0.0473958,330.952
0.00239583,0.0489583,334.784
0.00244792,0.0494792,336.317
0.00458333,0.0192708,295.669
0.00463542,0.0197917,296.782
0.00479167,0.0192708,296.535
0.00473958,0.0197917,296.787
0.00307292,0.0177083,306.767
0.00302083,0.0182292,306.492
0.00302083,0.0192708,310.289
0.00307292,0.0197917,311.652
0.00463542,0.0213542,297.177
0.00458333,0.0208333,296.459
0.00447917,0.0208333,296.466
0.00442708,0.0213542,297.81
0.00463542,0.0223958,298.683
0.00458333,0.0229167,299.232
0.00442708,0.0223958,300.105
0.00447917,0.0229167,299.284
0.00182292,0.0213542,317.184
0.00177083,0.0208333,313.365
0.00192708,0.0213542,317.3
0.00197917,0.0208333,318.313
5.20833e-05,0.0119792,300.701
0.000104167,0.0114583,301.06
0.000260417,0.0119792,300.132
0.000208333,0.0114583,301.025
0.00322917,0.0135417,299.666
0.00317708,0.0130208,300.282
0.00479167,0.0145833,295.682
0.00473958,0.0151042,294.892
0.00494792,0.0119792,299.037
0.00489583,0.0114583,298.145
0.00494792,0.0130208,299.173
0.00489583,0.0135417,298.516
0.00119792,0.0479167,320.889
0.00114583,0.0473958,319.236
0.00104167,0.0473958,319.194
0.000989583,0.0479167,318.938
0.000729167,0.0473958,318.155
0.000677083,0.0479167,316.629
0.000833333,0.0473958,318.243
0.000885417,0.0479167,318.937
5.20833e-05,0.0541667,302.98
0.000104167,0.0536458,306.552
0.000260417,0.0541667,309.425
0.000208333,0.0536458,306.657
0.000989583,0.0567708,326.767
0.00104167,0.0572917,329.496
0.000520833,0.0541667,315.433
0.000572917,0.0536458,318.728
0.000364583,0.0536458,312.659
0.000416667,0.0541667,315.317
0.000572917,0.0526042,317.29
0.000520833,0.0520833,312.854
0.000416667,0.0520833,312.703
0.000364583,0.0526042,310.492
0.000520833,0.0588542,314.057
0.000572917,0.0583333,317.152
0.000416667,0.0588542,313.898
0.000364583,0.0583333,311.274
0.00479167,0.00885417,298.035
0.00473958,0.00833333,297.682
0.00494792,0.00833333,298.966
0.00489583,0.00885417,298.075
0.00494792,0.00729167,298.559
0.00489583,0.00677083,296.768
0.00213542,0.0135417,300.453
0.00208333,0.0130208,299.884
0.00197917,0.0130208,299.863
0.00192708,0.0135417,299.095
0.00182292,0.0135417,299.084
0.00177083,0.0130208,299.791
0.00166667,0.0130208,299.812
0.00161458,0.0135417,299.933
0.00463542,0.0104167,295.522
0.00458333,0.00989583,295.304
0.00447917,0.00989583,295.315
0.00442708,0.0104167,295.992
0.00427083,0.0119792,297.606
0.00432292,0.0114583,299.099
0.00442708,0.0114583,299.132
0.00447917,0.0119792,299.654
0.00427083,0.0130208,296.145
0.00432292,0.0135417,298.297
0.00442708,0.0135417,298.367
