X,Y,Value,VX1,VY1,VX2,VY2,VX3,VY3
0.00135417,0.0489583,233.556,0.00125,0.00140625,0.00140625,0.0484375,0.0484375,0.05
0.00130208,0.0494792,233.542,0.00140625,0.00125,0.00125,0.05,0.05,0.0484375
0.000364583,0.0598958,234.566,0.00046875,0.0003125,0.0003125,0.059375,0.0609375,0.059375
0.000416667,0.0604167,234.654,0.00046875,0.0003125,0.00046875,0.0609375,0.0609375,0.059375
0.00135417,0.0119792,237.683,0.00140625,0.00140625,0.00125,0.0109375,0.0125,0.0125
0.00130208,0.0114583,237.737,0.00140625,0.00125,0.00125,0.0109375,0.0125,0.0109375
0.00130208,0.0104167,238.125,0.00140625,0.00125,0.00125,0.0109375,0.0109375,0.009375
0.00135417,0.00989583,238.251,0.00125,0.00140625,0.00140625,0.009375,0.009375,0.0109375
0.00151042,0.0104167,238.205,0.00140625,0.0015625,0.0015625,0.0109375,0.009375,0.0109375
0.00145833,0.00989583,238.253,0.00140625,0.00140625,0.0015625,0.0109375,0.009375,0.009375
0.00145833,0.0119792,237.684,0.00140625,0.00140625,0.0015625,0.0125,0.0109375,0.0125
0.00151042,0.0114583,237.819,0.0015625,0.00140625,0.0015625,0.0125,0.0109375,0.0109375
0.00114583,0.0302083,233.819,0.00109375,0.00125,0.00109375,0.0296875,0.0296875,0.03125
0.00119792,0.0307292,233.835,0.00109375,0.00125,0.00125,0.03125,0.0296875,0.03125
0.00161458,0.00520833,239.856,0.0015625,0.0015625,0.00171875,0.00625,0.0046875,0.0046875
0.00166667,0.00572917,239.791,0.00171875,0.00171875,0.0015625,0.0046875,0.00625,0.00625
0.00151042,0.00520833,239.854,0.00140625,0.0015625,0.0015625,0.0046875,0.0046875,0.00625
0.00145833,0.00572917,239.698,0.0015625,0.00140625,0.00140625,0.00625,0.00625,0.0046875
5.20833e-05,0.00416667,239.699,0,0,0.00015625,0.0046875,0.003125,0.0046875
0.000104167,0.00364583,239.877,0,0.00015625,0.00015625,0.003125,0.003125,0.0046875
0.000208333,0.00364583,239.88,0.00015625,0.00015625,0.0003125,0.0046875,0.003125,0.003125
0.000260417,0.00416667,239.838,0.0003125,0.0003125,0.00015625,0.003125,0.0046875,0.0046875
0.00145833,0.00677083,239.246,0.00140625,0.0015625,0.00140625,0.00625,0.00625,0.0078125
0.00151042,0.00729167,239.172,0.00140625,0.0015625,0.0015625,0.0078125,0.00625,0.0078125
0.00145833,0.00885417,238.597,0.0015625,0.00140625,0.00140625,0.009375,0.009375,0.0078125
0.00151042,0.00833333,238.707,0.0015625,0.0015625,0.00140625,0.0078125,0.009375,0.0078125
0.00135417,0.00885417,238.596,0.00140625,0.00140625,0.00125,0.0078125,0.009375,0.009375
0.00130208,0.00833333,238.661,0.00125,0.00125,0.00140625,0.009375,0.0078125,0.0078125
0.00119792,0.00729167,239.088,0.00125,0.00125,0.00109375,0.00625,0.0078125,0.0078125
0.00114583,0.00677083,239.144,0.00125,0.00109375,0.00109375,0.00625,0.0078125,0.00625
0.00135417,0.00677083,239.244,0.00140625,0.00140625,0.00125,0.00625,0.0078125,0.00625
0.00130208,0.00729167,239.089,0.00125,0.00140625,0.00125,0.00625,0.0078125,0.0078125
0.00135417,0.00572917,239.696,0.00140625,0.00140625,0.00125,0.0046875,0.00625,0.00625
0.00130208,0.00520833,239.768,0.00125,0.00125,0.00140625,0.00625,0.0046875,0.0046875
0.00135417,0.0458333,233.349,0.00140625,0.00125,0.00140625,0.046875,0.0453125,0.0453125
0.00130208,0.0463542,233.323,0.00125,0.00125,0.00140625,0.046875,0.0453125,0.046875
0.00151042,0.0463542,233.398,0.0015625,0.0015625,0.00140625,0.0453125,0.046875,0.046875
0.00145833,0.0458333,233.351,0.00140625,0.00140625,0.0015625,0.046875,0.0453125,0.0453125
0.00135417,0.0479167,233.478,0.00140625,0.00140625,0.00125,0.046875,0.0484375,0.0484375
0.00130208,0.0473958,233.421,0.00140625,0.00125,0.00125,0.046875,0.0484375,0.046875
0.00145833,0.0479167,233.48,0.0015625,0.00140625,0.00140625,0.0484375,0.0484375,0.046875
0.00151042,0.0473958,233.487,0.00140625,0.0015625,0.0015625,0.046875,0.046875,0.0484375
0.000572917,0.0463542,233.116,0.00046875,0.000625,0.000625,0.046875,0.0453125,0.046875
0.000520833,0.0458333,233.043,0.00046875,0.000625,0.00046875,0.0453125,0.0453125,0.046875
5.20833e-05,0.0463542,232.86,0.00015625,0,0,0.046875,0.046875,0.0453125
0.000104167,0.0458333,232.911,0,0.00015625,0.00015625,0.0453125,0.0453125,0.046875
0.000677083,0.0463542,233.119,0.000625,0.000625,0.00078125,0.046875,0.0453125,0.046875
0.000729167,0.0458333,233.16,0.00078125,0.000625,0.00078125,0.046875,0.0453125,0.0453125
0.000833333,0.0458333,233.162,0.00078125,0.0009375,0.00078125,0.0453125,0.0453125,0.046875
0.000885417,0.0463542,233.227,0.00078125,0.0009375,0.0009375,0.046875,0.0453125,0.046875
0.00119792,0.0463542,233.321,0.00109375,0.00125,0.00125,0.046875,0.0453125,0.046875
0.00114583,0.0458333,233.266,0.00109375,0.00125,0.00109375,0.0453125,0.0453125,0.046875
0.000989583,0.0463542,233.23,0.0009375,0.0009375,0.00109375,0.046875,0.0453125,0.046875
0.00104167,0.0458333,233.264,0.00109375,0.0009375,0.00109375,0.046875,0.0453125,0.0453125
0.00260417,0.0447917,233.478,0.00265625,0.0025,0.00265625,0.0453125,0.0453125,0.04375
0.00255208,0.0442708,233.473,0.00265625,0.0025,0.0025,0.04375,0.0453125,0.04375
0.000416667,0.0458333,233.04,0.00046875,0.00046875,0.0003125,0.0453125,0.046875,0.0453125
0.000364583,0.0463542,232.992,0.0003125,0.00046875,0.0003125,0.0453125,0.046875,0.046875
0.000208333,0.0458333,232.914,0.0003125,0.00015625,0.00015625,0.0453125,0.046875,0.0453125
0.000260417,0.0463542,232.989,0.0003125,0.00015625,0.0003125,0.046875,0.046875,0.0453125
5.20833e-05,0.0442708,232.788,0,0,0.00015625,0.0453125,0.04375,0.04375
0.000104167,0.0447917,232.862,0.00015625,0.00015625,0,0.04375,0.0453125,0.0453125
0.000208333,0.0447917,232.865,0.00015625,0.0003125,0.00015625,0.04375,0.0453125,0.0453125
0.000260417,0.0442708,232.914,0.0003125,0.0003125,0.00015625,0.04375,0.0453125,0.04375
0.000729167,0.0447917,233.112,0.00078125,0.000625,0.00078125,0.0453125,0.0453125,0.04375
0.000677083,0.0442708,233.04,0.00078125,0.000625,0.000625,0.04375,0.0453125,0.04375
0.000833333,0.0447917,233.114,0.00078125,0.0009375,0.00078125,0.04375,0.0453125,0.0453125
0.000885417,0.0442708,233.162,0.0009375,0.0009375,0.00078125,0.04375,0.0453125,0.04375
