X,Y,Value,VX1,VY1,VX2,VY2,VX3,VY3
0.00135417,0.0489583,300,0.00125,0.00140625,0.00140625,0.0484375,0.0484375,0.05
0.00130208,0.0494792,300,0.00140625,0.00125,0.00125,0.05,0.05,0.0484375
0.000364583,0.0598958,299.999,0.00046875,0.0003125,0.0003125,0.059375,0.0609375,0.059375
0.000416667,0.0604167,300,0.00046875,0.0003125,0.00046875,0.0609375,0.0609375,0.059375
0.00135417,0.0119792,300,0.00140625,0.00140625,0.00125,0.0109375,0.0125,0.0125
0.00130208,0.0114583,300,0.00140625,0.00125,0.00125,0.0109375,0.0125,0.0109375
0.00130208,0.0104167,300,0.00140625,0.00125,0.00125,0.0109375,0.0109375,0.009375
0.00135417,0.00989583,300,0.00125,0.00140625,0.00140625,0.009375,0.009375,0.0109375
0.00151042,0.0104167,300,0.00140625,0.0015625,0.0015625,0.0109375,0.009375,0.0109375
0.00145833,0.00989583,300,0.00140625,0.00140625,0.0015625,0.0109375,0.009375,0.009375
0.00145833,0.0119792,300,0.00140625,0.00140625,0.0015625,0.0125,0.0109375,0.0125
0.00151042,0.0114583,300,0.0015625,0.00140625,0.0015625,0.0125,0.0109375,0.0109375
0.00114583,0.0302083,300,0.00109375,0.00125,0.00109375,0.0296875,0.0296875,0.03125
0.00119792,0.0307292,300,0.00109375,0.00125,0.00125,0.03125,0.0296875,0.03125
0.00161458,0.00520833,300,0.0015625,0.0015625,0.00171875,0.00625,0.0046875,0.0046875
0.00166667,0.00572917,300,0.00171875,0.00171875,0.0015625,0.0046875,0.00625,0.00625
0.00151042,0.00520833,300,0.00140625,0.0015625,0.0015625,0.0046875,0.0046875,0.00625
0.00145833,0.00572917,300,0.0015625,0.00140625,0.00140625,0.00625,0.00625,0.0046875
5.20833e-05,0.00416667,300,0,0,0.00015625,0.0046875,0.003125,0.0046875
0.000104167,0.00364583,300,0,0.00015625,0.00015625,0.003125,0.003125,0.0046875
0.000208333,0.00364583,300,0.00015625,0.00015625,0.0003125,0.0046875,0.003125,0.003125
0.000260417,0.00416667,300,0.0003125,0.0003125,0.00015625,0.003125,0.0046875,0.0046875
0.00145833,0.00677083,300,0.00140625,0.0015625,0.00140625,0.00625,0.00625,0.0078125
0.00151042,0.00729167,300,0.00140625,0.0015625,0.0015625,0.0078125,0.00625,0.0078125
0.00145833,0.00885417,300,0.0015625,0.00140625,0.00140625,0.009375,0.009375,0.0078125
0.00151042,0.00833333,300,0.0015625,0.0015625,0.00140625,0.0078125,0.009375,0.0078125
0.00135417,0.00885417,300,0.00140625,0.00140625,0.00125,0.0078125,0.009375,0.009375
0.00130208,0.00833333,300,0.00125,0.00125,0.00140625,0.009375,0.0078125,0.0078125
0.00119792,0.00729167,300,0.00125,0.00125,0.00109375,0.00625,0.0078125,0.0078125
0.00114583,0.00677083,300,0.00125,0.00109375,0.00109375,0.00625,0.0078125,0.00625
0.00135417,0.00677083,300,0.00140625,0.00140625,0.00125,0.00625,0.0078125,0.00625
0.00130208,0.00729167,300,0.00125,0.00140625,0.00125,0.00625,0.0078125,0.0078125
0.00135417,0.00572917,300,0.00140625,0.00140625,0.00125,0.0046875,0.00625,0.00625
0.00130208,0.00520833,300,0.00125,0.00125,0.00140625,0.00625,0.0046875,0.0046875
0.00135417,0.0458333,300,0.00140625,0.00125,0.00140625,0.046875,0.0453125,0.0453125
0.00130208,0.0463542,300,0.00125,0.00125,0.00140625,0.046875,0.0453125,0.046875
0.00151042,0.0463542,300,0.0015625,0.0015625,0.00140625,0.0453125,0.046875,0.046875
0.00145833,0.0458333,300,0.00140625,0.00140625,0.0015625,0.046875,0.0453125,0.0453125
0.00135417,0.0479167,300,0.00140625,0.00140625,0.00125,0.046875,0.0484375,0.0484375
0.00130208,0.0473958,300,0.00140625,0.00125,0.00125,0.046875,0.0484375,0.046875
0.00145833,0.0479167,300,0.0015625,0.00140625,0.00140625,0.0484375,0.0484375,0.046875
0.00151042,0.0473958,300,0.00140625,0.0015625,0.0015625,0.046875,0.046875,0.0484375
